2023-08-27 00:18:47.3053|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-27 00:18:47.3224|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-27 00:18:47.3224|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\VS2022\SocialProgrammer\ToDoList |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-08-27 00:18:52.4413|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:18:52.4413|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:18:53.9108|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:18:53.9747|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:18:55.0419|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:18:55.0514|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:31:11.2131|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-27 00:31:11.2315|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-27 00:31:11.2315|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\VS2022\SocialProgrammer\ToDoList |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-08-27 00:31:15.1335|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:31:15.1335|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:31:24.4395|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:31:24.4395|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:31:27.4668|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for delete a comment from article - dfghdfhgfdhdfdfg |url: https://localhost/Comment/DeleteComment|action: DeleteComment|SocialProgrammer.Service.Implementations.CommentService.DeleteComment
2023-08-27 00:31:27.5586|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Comment deleted: Lox 26.08.2023 16:53:27 |url: https://localhost/Comment/DeleteComment|action: DeleteComment|SocialProgrammer.Service.Implementations.CommentService.DeleteComment
2023-08-27 00:31:29.8080|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:31:29.8160|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:33:27.0271|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-27 00:33:27.0459|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-27 00:33:27.0459|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\VS2022\SocialProgrammer\ToDoList |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-08-27 00:33:31.0894|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:33:31.0894|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:33:32.5805|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:33:32.5805|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:33:33.6668|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for delete a comment from article - dfghdfhgfdhdfdfg |url: https://localhost/Comment/DeleteComment|action: DeleteComment|SocialProgrammer.Service.Implementations.CommentService.DeleteComment
2023-08-27 00:33:33.7343|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Comment deleted: Lox 26.08.2023 16:23:38 |url: https://localhost/Comment/DeleteComment|action: DeleteComment|SocialProgrammer.Service.Implementations.CommentService.DeleteComment
2023-08-27 00:33:33.7360|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:33:33.7360|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:33:36.8498|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:33:36.8498|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:36:34.6440|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-27 00:36:34.6623|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-27 00:36:34.6623|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\VS2022\SocialProgrammer\ToDoList |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-08-27 00:36:38.8758|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:36:38.8773|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:36:43.6434|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:36:43.6677|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:36:44.9375|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for delete a comment from article - dfghdfhgfdhdfdfg |url: https://localhost/Comment/DeleteComment|action: DeleteComment|SocialProgrammer.Service.Implementations.CommentService.DeleteComment
2023-08-27 00:36:45.0025|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Comment deleted: Lox 26.08.2023 15:57:09 |url: https://localhost/Comment/DeleteComment|action: DeleteComment|SocialProgrammer.Service.Implementations.CommentService.DeleteComment
2023-08-27 00:36:45.0025|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:36:45.0025|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:36:47.9598|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:36:47.9598|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:36:49.1269|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:36:49.1269|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:36:52.0173|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for create a comment to article - dfghdfhgfdhdfdfg |url: https://localhost/Comment/CreateComment|action: CreateComment|SocialProgrammer.Service.Implementations.CommentService.CreateComment
2023-08-27 00:36:52.0598|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Comment created: Lox 27.08.2023 0:36:52 |url: https://localhost/Comment/CreateComment|action: CreateComment|SocialProgrammer.Service.Implementations.CommentService.CreateComment
2023-08-27 00:36:55.1193|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:36:55.1267|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:37:02.1272|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for delete a comment from article - dfghdfhgfdhdfdfg |url: https://localhost/Comment/DeleteComment|action: DeleteComment|SocialProgrammer.Service.Implementations.CommentService.DeleteComment
2023-08-27 00:37:02.1483|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Comment deleted: Lox 26.08.2023 18:36:52 |url: https://localhost/Comment/DeleteComment|action: DeleteComment|SocialProgrammer.Service.Implementations.CommentService.DeleteComment
2023-08-27 00:37:02.1483|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:37:02.1583|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:37:05.7677|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:37:05.7677|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:37:06.4098|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:06.4098|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:08.0865|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:37:08.0865|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:37:09.3492|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:09.3492|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:10.5701|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for create a comment to article - dfghdfhgfdhdfdfg |url: https://localhost/Comment/CreateComment|action: CreateComment|SocialProgrammer.Service.Implementations.CommentService.CreateComment
2023-08-27 00:37:10.5848|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Comment created: Lox 27.08.2023 0:37:10 |url: https://localhost/Comment/CreateComment|action: CreateComment|SocialProgrammer.Service.Implementations.CommentService.CreateComment
2023-08-27 00:37:12.1190|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:37:12.1190|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:37:14.0716|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:14.0716|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:15.5970|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:15.5970|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:16.5854|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:16.5854|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:16.8648|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:16.8648|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:17.0717|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:17.0812|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:17.2674|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:17.2674|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:17.4239|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:17.4239|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Get articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
2023-08-27 00:37:22.6705|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Request for get comments from article |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:37:22.6766|0|INFO|SocialProgrammer.Service.Implementations.CommentService|Get comments |url: https://localhost/Comment/CommentForm/64e89f39db6ec8e363d42b2f|action: CommentForm|SocialProgrammer.Service.Implementations.CommentService.GetAll
2023-08-27 00:38:54.8330|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-27 00:38:54.8477|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-08-27 00:38:54.8477|0|INFO|Microsoft.Hosting.Lifetime|Content root path: E:\VS2022\SocialProgrammer\ToDoList |url: |action: |Microsoft.Extensions.Hosting.Internal.ApplicationLifetime.NotifyStarted
2023-08-27 00:38:58.7744|0|INFO|SocialProgrammer.Service.Implementations.ArticleService|Request for create an articles |url: https://localhost/Article/ArticleForm|action: ArticleForm|SocialProgrammer.Service.Implementations.ArticleService.GetAll
